@relation 'BreastCancerAll-weka.filters.unsupervised.attribute.Remove-V-R302,1195,1441,1471,1673,1966,1975,2007,2019,2054,2139,2170,2630,3150,3211,3401,3435,3593,3659,4322,4553,4629,4757,4795,5271,6437,6785,6851,6859,6911,7022,7213,7317,7345,7347,7754,8607,8797,8905,8913,8917,9589,9593-9595,9597-9598,9601-9603,9605,9725,9945,10674,11613,11969,11987,12034,12038,12181'

@attribute 302_chrom1_reg44816452-46047207_probnorm numeric
@attribute 1195_chrom2_reg15573647-20346474_probgain numeric
@attribute 1441_chrom2_reg126478953-126745976_probloss numeric
@attribute 1471_chrom2_reg131945577-132042781_probgain numeric
@attribute 1673_chrom3_reg12735694-14873985_probloss numeric
@attribute 1966_chrom3_reg128485208-128664764_probnorm numeric
@attribute 1975_chrom3_reg130189196-130206126_probgain numeric
@attribute 2007_chrom3_reg143686906-144718154_probgain numeric
@attribute 2019_chrom3_reg156981865-159692979_probgain numeric
@attribute 2054_chrom3_reg166639991-168786545_probnorm numeric
@attribute 2139_chrom3_reg196908262-196937230_probgain numeric
@attribute 2170_chrom4_reg833085-843614_probnorm numeric
@attribute 2630_chrom4_reg187735989-188875290_probnorm numeric
@attribute 3150_chrom6_reg1292057-1353261_probnorm numeric
@attribute 3211_chrom6_reg18550170-18661357_probgain numeric
@attribute 3401_chrom6_reg62843325-63283741_probloss numeric
@attribute 3435_chrom6_reg69133049-69809498_probgain numeric
@attribute 3593_chrom6_reg110630205-111025278_probloss numeric
@attribute 3659_chrom6_reg128962975-130409779_probgain numeric
@attribute 4322_chrom8_reg184617-320897_probnorm numeric
@attribute 4553_chrom8_reg32812909-32947324_probloss numeric
@attribute 4629_chrom8_reg36779836-36973293_probloss numeric
@attribute 4757_chrom8_reg42014398-42175380_probloss numeric
@attribute 4795_chrom8_reg43264404-43385428_probgain numeric
@attribute 5271_chrom9_reg7319454-7723767_probgain numeric
@attribute 6437_chrom11_reg59634380-59984619_probloss numeric
@attribute 6785_chrom11_reg76858917-77204725_probloss numeric
@attribute 6851_chrom11_reg83733321-85064586_probgain numeric
@attribute 6859_chrom11_reg86480032-87537774_probgain numeric
@attribute 6911_chrom11_reg104063199-105016068_probgain numeric
@attribute 7022_chrom12_reg7894681-7915622_probnorm numeric
@attribute 7213_chrom12_reg51241859-52425218_probloss numeric
@attribute 7317_chrom12_reg72645832-73482351_probloss numeric
@attribute 7345_chrom12_reg80739510-81659894_probloss numeric
@attribute 7347_chrom12_reg80739510-81659894_probgain numeric
@attribute 7754_chrom13_reg94449214-95725796_probnorm numeric
@attribute 8607_chrom16_reg4670009-7442625_probgain numeric
@attribute 8797_chrom16_reg47641974-47668511_probloss numeric
@attribute 8905_chrom16_reg68606309-68648091_probloss numeric
@attribute 8913_chrom16_reg68710277-68751390_probloss numeric
@attribute 8917_chrom16_reg68838368-68874167_probloss numeric
@attribute 9589_chrom17_reg34900309-34925507_probloss numeric
@attribute 9593_chrom17_reg34940330-35067992_probloss numeric
@attribute 9594_chrom17_reg34940330-35067992_probnorm numeric
@attribute 9595_chrom17_reg34940330-35067992_probgain numeric
@attribute 9597_chrom17_reg35076296-35282086_probloss numeric
@attribute 9598_chrom17_reg35076296-35282086_probnorm numeric
@attribute 9601_chrom17_reg35286565-35336158_probloss numeric
@attribute 9602_chrom17_reg35286565-35336158_probnorm numeric
@attribute 9603_chrom17_reg35286565-35336158_probgain numeric
@attribute 9605_chrom17_reg35344057-35385941_probloss numeric
@attribute 9725_chrom17_reg41458670-41494331_probloss numeric
@attribute 9945_chrom17_reg49218134-49331755_probloss numeric
@attribute 10674_chrom18_reg64796820-68375250_probnorm numeric
@attribute 11613_chrom21_reg13660680-14258259_probloss numeric
@attribute 11969_chrom22_reg41221190-41290227_probloss numeric
@attribute 11987_chrom22_reg42652021-43322780_probgain numeric
@attribute 12034_chrom23_reg384298-385792_probnorm numeric
@attribute 12038_chrom23_reg422315-462468_probnorm numeric
@attribute class {HER2+,TN,HR+}

@data
0.938,0.984,0.003,0.016,0.01,0,0.855,0.992,0.99,0,0.001,0.027,0.969,0,0.957,0,0.992,0,0.959,0,0.036,0.036,0,0.946,1,0.006,0.006,0.019,0.019,0.019,0,0.015,0.015,0.015,0.015,0,0.107,0,0,0,0,0.009,0.009,0.934,0.054,0.009,0.934,0.009,0.934,0.054,0.009,0.009,0.017,0.957,0.001,0.001,0.661,0,0,TN
0.031,0.922,0,0,0,0.975,0.016,0.016,0.016,0.974,0.019,0.35,0.053,0.098,0.9,0,0.919,0,0.919,0,1,0,1,0,0.003,0,0,0.952,0.952,0.952,0,0.011,0.011,0.011,0.021,0.972,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906,0,0,0.798,0,0,HER2+
0.804,0.005,0.01,0.003,0.008,0.984,0.005,0.005,0.005,0.976,0.991,0.985,0.967,0.976,0.088,0.001,0,0.994,0,0,1,1,0.001,0.971,0,0.999,1,0,0,0,0.725,0.273,0.015,0.015,0.015,0,0.111,0.988,0.988,0.988,0.988,0.999,0.999,0.001,0,0.999,0.001,0.999,0.001,0,0.999,0.996,0,0.933,0.003,0.012,0.023,0.873,0.873,HR+
0.858,0.001,0.855,0,0.009,0.985,0.006,0.006,0.006,0.975,0.99,0,0.073,0.124,0,0.821,0,0,0.897,0.468,0.135,0.135,0.033,0.009,0,0.001,0.001,0.641,0.641,0.565,0.123,0.003,0.003,0.003,0.011,0.283,0.001,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.012,0.003,0.245,0.002,0.906,0.906,HER2+
0.617,0.006,0.007,0.006,1,0.072,0.926,0.926,0.926,0.046,0.951,0.036,0.98,0.989,0.007,0.003,0.011,0.003,0.011,0,1,1,1,0,0,0.001,0.999,0.008,0.008,0.008,0.986,0.003,0.003,0.003,0.014,0,0.839,1,1,1,1,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.933,0,0.001,0.795,0,0,HER2+
0,0.97,0.001,0.596,0.933,0.426,0.572,0.572,0.572,0.433,0.001,0.79,0.494,0.982,0.011,0.005,0.006,0.064,0.98,0,0.045,0.045,0.067,0.005,0.004,0,0,0.691,0.691,0.968,0.98,0.001,0.001,0.001,0.275,0.977,0.995,0,0.004,0.004,0.004,1,0,0,0,0,0,0,0,0,0,1,0,0.06,0,0.974,0,0,0,HER2+
0.53,0,1,0,0,0.975,0.017,0.017,0.017,0.975,0.683,0.986,0.978,0.985,0.004,0.008,0.004,1,0,0,1,0,0.016,0.024,0,0.011,0.017,0.015,0.015,0,0.985,0.004,0.004,0.004,0.01,0.003,0.948,1,1,1,0.999,1,1,0,0,1,0,1,0,0,1,1,0,0,0.993,1,0,0.906,0,HR+
0,0.006,0.008,0.007,0,0.003,0.994,0.994,0.994,0.001,0.857,0,0,0.003,0.993,0,0.994,0,0.994,0.956,0.035,0.035,0.035,0.008,0.005,0.007,0.023,0.011,0.011,0.011,0.984,0.004,0.004,0.004,0.009,0.997,0.014,0,0,0.999,0.012,0.024,0.024,0.972,0.004,0.024,0.972,0.024,0.972,0.004,0.024,0.024,0.018,0.973,0,0.019,0.018,0.001,0.001,TN
0,0.973,0,0.982,0,0.972,0.022,0.022,0.971,0,0.022,0.984,0.124,0.988,0.006,0,0.54,0,0.418,0.931,0.064,0.064,0,0.894,0.002,0,0,0.9,0.943,0.013,0,0.017,0.017,0.017,0.013,0,0.968,0,0.004,0.004,0,0.027,0.027,0.969,0.003,0,0,0.01,0.937,0.051,0.01,0.013,0.022,0.949,0,0,0.98,0,0,TN
0.024,0,0.975,0,0.009,0.985,0.006,0.006,0.006,0.985,0,0.987,0.98,0.096,0,0.824,0,1,0,0,1,0,0,0.226,0,0,1,0,0,0,0.987,0.004,0.004,0.004,0.008,0.998,0.009,0.001,0.897,0.897,0.038,0.017,0.017,0.956,0.026,0.017,0.956,0.017,0.956,0.026,0.017,0.017,0.017,0.977,0,0.992,0,0.831,0.831,HR+
0.979,0.007,0.008,0.007,0.007,0.985,0.007,0.007,0.007,0.985,0.007,0.988,0.98,0.988,0.007,0.005,0,0.999,0,0.959,0.03,0.03,0.03,0.01,0.005,0.994,0,0,0,0,0.987,0.004,0.004,0.004,0.01,0.998,0.043,0.997,0.995,0.995,0.995,0.029,0.029,0.968,0.003,0.029,0.968,0.029,0.968,0.003,0.029,0.029,0.022,0.962,0,0.023,0.012,0.723,0,HR+
0.975,0.001,0.012,0.851,0.006,0,0.44,0.897,0,0.001,0,0.98,0.97,0.988,0.017,0,0.525,0,0.525,0,1,0,0.001,0.541,0.051,0,0.908,0,0,0,0.751,0.003,0.004,0.004,0.097,0.02,0.998,0.034,0.034,1,0.493,0,0,0,0,0,0,0,0,0,0,0.022,0.025,0.885,0.003,0.016,0.017,0.75,0.75,HER2+
0.012,0.006,0,0.983,0,0,0.007,0.968,0.712,0,0.97,0.08,0.003,0.012,0.985,0,0.415,0.04,0.028,0.064,0.107,0,0,0.831,0.006,0.019,0,0.005,0.752,0.017,0.046,0.013,0.013,0.013,0.017,0,0.993,1,0,0,0,0.055,0.055,0.934,0.009,0.055,0.934,0.055,0.934,0.009,0.055,0,0,0.961,0,0,0.947,0,0,TN
0.979,0.023,0.003,0.023,0.007,0.985,0.008,0.021,0.021,0.974,0,0.08,0.98,0.989,0.006,0.036,0.002,0.036,0.002,0.955,0.036,0.036,0.029,0.011,0.005,0.02,0.019,0.012,0.012,0.012,0.987,0.004,0.004,0.004,0.009,0.998,0.085,0,0,0,0,0.033,0.033,0.964,0.003,0.033,0.964,0.033,0.964,0.003,0.033,0.033,0.023,0.939,0.01,0.026,0.01,0.64,0,TN
0.602,0,0.027,0.003,0.008,0.974,0.019,0.668,0.668,0.973,0.98,0.422,0,0.838,0.974,0.001,0.203,0,0.885,0,0.01,0,0.111,0.006,0.577,0.957,0.003,0.267,0.267,0.267,0.967,0.996,0.996,0.996,0,0.068,0.839,0.003,0.003,0.003,0.003,0.228,0.228,0.771,0.001,0.228,0.771,0.228,0.771,0.001,0.228,0.228,0.485,0.001,0.005,0.582,0.001,0.594,0,TN
0.976,0,0.877,0,0.009,0.985,0.007,0.007,0.007,0.976,0.013,0.977,0.98,0.457,0.414,0.974,0,0.974,0,0.955,0.036,0.036,0.032,0.009,0,0.953,0.94,0,0,0,0.988,0,0,0,0.539,0.072,0.997,0.974,0.974,1,0.968,0.005,0.005,0.878,0.116,0.005,0.878,0.005,0.878,0.116,0.005,0.005,0.001,0.05,0,0.979,0,0,0,HR+
0.047,0,0.933,0,0.008,0.985,0.007,0.007,0.007,0.985,0.007,0.06,0.033,0.348,0,0.797,0,1,0,0.96,0.029,0.029,0.029,0.01,0,0.924,0.972,0,0,0,0.987,0.004,0.004,0.004,0.009,0.543,0.009,0.001,0.001,0.001,0.001,0.984,0.984,0.016,0,0.984,0.016,0.984,0.016,0,0.984,0.984,0.981,0.977,0.914,0.004,0.001,0.927,0,HR+
0.696,0.001,0.007,0.008,0.399,0.6,0.001,0.001,0.001,0.6,0,0.987,0.323,0.898,0.151,0.206,0.001,0.817,0.001,0,0.001,0,0.895,0,0,0.008,0.021,0.011,0.011,0.011,0.986,0.003,0.003,0.003,0.011,0.04,0.277,1,1,1,1,0.999,0.999,0.001,0,0.999,0.001,0.999,0.001,0,0.999,0.026,0.999,0.974,0,0.013,0.023,0.001,0.001,HR+
0.244,0.002,0.026,0.003,0.037,0.96,0.002,0.002,0.002,0.957,0.005,0.3,0.979,0.974,0.002,0.022,0.002,0.022,0.002,0.039,0.933,0.933,0.948,0,0,0.007,0.018,0.013,0.013,0.014,0.986,0.004,0.004,0.004,0.01,0.998,0.013,0.91,0.868,0.868,0.868,0,0,0,0,0,0,0,0,0,0,0.02,0.026,0.976,0,0.019,0.014,0.001,0.001,HER2+
0.164,0.03,0.002,0.03,0.009,0,0,0,0,0.976,0,0.988,0.979,0.202,0,0.788,0,0.788,0,0,1,0,1,0,0,0.005,0.013,0.019,0.019,0.019,0.984,0.003,0.003,0.003,0.011,0.998,0.957,0,0.996,0.996,0.996,0.001,0.001,0.026,0.964,0.001,0.026,0.001,0.026,0.964,0.001,0.001,0.001,0,0,0.334,0,0,0,TN
0.688,0.987,0,0.992,0.008,0.001,0.994,0.966,0.966,0,0.036,0.987,0.978,0,0.991,0,0.975,0,0.975,0.818,0.027,0.027,0.015,0.025,0.698,0,0,0.971,0.011,0.011,0,0.012,0.012,0.012,0.019,0.977,0.995,0,0,0,0,0,0,0,0.671,0,0,0,0,0.956,0,0,0,0.005,0,0,0.985,0,0,TN
0,0.008,0.008,0.006,0.999,0.029,0.968,0.976,0.976,0.021,0.958,0.977,0.978,0.988,0.004,0.999,0.019,0,0.02,0,1,0.055,0.055,0.006,0.509,0.02,0,0.955,0.907,0,0.986,0.999,0.018,0.018,0.013,0.001,0.011,0.001,0.068,1,0.001,0.038,0.038,0.96,0.002,0.038,0.96,0.038,0.96,0.002,0.038,0.038,0.025,0,0,0.052,0.025,0.604,0.604,TN
0.979,0.028,0.003,0.028,0.003,0.863,0.136,0.136,0.136,0.811,0,0.792,0.986,0.97,0.095,0.001,0.144,0.005,0.222,0,0.998,0,0,0.934,0.003,0,0,0.01,0.01,0.01,0.984,0.003,0.014,0.378,0.001,0.996,0.043,0.012,0.012,0.012,0.012,0,0,0,0.381,0,0,0,0,0,0,0.153,0.299,0.913,0,0.002,0.355,0.935,0.935,HER2+
0.978,0.006,0.009,0.006,0.188,0.984,0.974,0.025,0.025,0.969,0.025,0.857,0.562,0.828,0.171,0.006,0.006,0.006,0.006,0.397,0.602,0.602,0.034,0.009,0,0.004,0.008,0.041,0.041,0.001,0.986,0.021,0.108,0.108,0.003,0.583,0.028,0,0.055,0.996,0.027,0,0,0,0,0,0,0,0,0,0,0.418,0.012,0.763,0,0.001,0.556,0.867,0,HER2+
0.005,0.268,0.002,0.047,0.996,0.638,0.36,0.36,0.36,0.596,0.402,0.899,0.98,0,0.96,0.001,0,0.885,0,0,1,1,1,0.017,0.002,0.009,0.009,0.004,0.004,0.01,0.963,0.092,0.092,0.092,0.001,0.998,0.03,1,1,1,1,0.998,0.998,0.002,0,0.996,0.004,0.996,0.004,0,0.996,0.996,0,0.95,0.018,0.996,0,0.932,0.932,HER2+
0,0.007,0.007,0.007,0.717,0.283,0,0,0,0.645,0,0.35,0,0.986,0.004,0.096,0.009,0.045,0.01,0,1,0.876,0.906,0,0,0.527,0.81,0.968,0.001,0,0.98,0.003,0.02,0.84,0,0.976,0.015,0,0,1,0.027,1,0,0,0,0,0,0,0,0.001,0,1,1,0,0,0.003,0.002,0.019,0.019,HER2+
0.979,0.007,0.008,0.007,1,0.984,0.005,0.005,0.005,0.976,0.013,0,0.976,0.676,0.001,0.482,0,0.482,0,0,1,1,1,0.01,0,0.017,0,0.851,0.851,0,0,0.039,0.108,0.108,0.003,0.961,0.024,0.138,0.147,1,0.111,0,0,0,0,0,0,0,0,0,0,1,0,0.956,0.144,1,0,0,0,HER2+
0.897,0.011,0.014,0.004,0.008,0.985,0.006,0.006,0.006,0.985,0.006,0.802,0.733,0.988,0.01,0.003,0.009,0.525,0.002,0.292,0.708,0.708,0.027,0.011,0.001,0.024,0.018,0.013,0.013,0.013,0.979,0.002,0.002,0.002,0.018,0.814,0.017,0.001,0.001,0.001,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0.333,0.004,0.716,0,0.346,0.001,0.923,0,HER2+
0.979,0.007,0.007,0.007,0.008,0.976,0.013,0.013,0.013,0.976,0.013,0.299,0.978,0.989,0.006,0.007,0.005,0.007,0.005,0.084,0.926,0.926,0.926,0,0.004,0.015,0.887,0,0,0,0.986,0.005,0.005,0.005,0.008,0.998,0.018,0,0.023,0.023,0.023,0,0,0.009,0.962,0,0,0,0,0.002,0,0.733,0.933,0.976,0,0.709,0,0.828,0,HER2+
0.872,0.001,0.196,0.001,0.176,0.978,0.018,0.018,0.018,0.978,0.018,0.926,0.961,0.989,0.006,0.006,0.006,0.04,0.019,0.429,0.551,0.551,0.304,0.001,0.029,0.024,0.024,0.01,0.01,0.012,0.105,0.015,0.015,0.015,0.015,0.998,0.998,0.927,0.927,0.927,0.927,0,0,0,0,0,0,0,0,0,0,1,1,0.001,0,1,0,0.559,0.559,HER2+
0.971,0,0.005,0.009,0.006,0,0,0,0,0,0,0.448,0.33,0.989,0.007,0.005,0.003,0.381,0.002,0,1,1,1,0,0.995,0.002,0.002,0.042,0.042,0.001,0.952,0.045,0.045,0.045,0.002,0.055,0.002,0.262,0.989,0.989,0.025,0.007,0,0,0,0,0,0,0,0,0,1,0,0,0.512,1,0,0.929,0.929,HER2+
0.979,0.007,0.005,0.008,0.006,0.985,0.009,0.009,0.009,0.971,0.023,0.988,0.98,0.989,0.006,0.004,0.007,0.004,0.007,0,1,1,0.001,0.959,0.004,0.007,0.02,0.012,0.012,0.012,0.986,0,0,1,0,0.977,0.012,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0.018,0.999,0.999,0.958,0.002,0.026,0.011,0.677,0,HER2+
0.977,0.513,0.003,0.008,0.007,0.985,0.007,0.007,0.007,0.975,0.016,0.986,0.977,0.988,0.009,0.001,0.059,0,0.019,0.955,0.034,0.034,0.001,0.968,0.319,0.001,0,0.012,0.012,0.012,0.986,0.001,0.001,0.001,0.762,0.896,0.499,0.028,0.025,1,0.024,0,0,0,0,0,0,0,0,0,0,0.897,0.001,0.677,0,0.001,0.678,0.437,0,HR+
0.326,0.006,0.009,0.006,0.63,0.447,0.001,0.001,0.001,0.367,0.001,0.987,0.357,0.907,0.092,0.005,0.006,0.005,0.006,0.955,0.035,0.04,0.055,0,0,0.024,0.022,0,0,0,0.642,0.425,0.425,0.425,0.001,0.255,0.008,0.001,0.031,0.031,0.031,0.027,0.027,0.955,0.016,0.027,0.955,0.027,0.955,0.016,0.027,1,0.834,0.148,0.012,0.838,0,0.726,0,TN
0.979,0.006,0.009,0.006,0.009,0.985,0.006,0.006,0.006,0.976,0,0.989,0.972,0.007,0.995,0.006,0.005,0.006,0.005,0,0,0,0,0.97,0,1,0.017,0,0,0,0.987,0.004,0.004,0.004,0.009,0.975,0.01,0.001,0.001,0.001,0.001,0.023,0.023,0.956,0.019,0.023,0.956,0.023,0.956,0.019,0.023,0.023,0.025,0,0,1,0,0.199,0.199,HR+
0.979,0.007,0.008,0.007,0.007,0.985,0.007,0.007,0.007,0.975,0.015,0.987,0.98,0.451,0.006,0.005,0.007,0.999,0,0.058,0.999,0,0,0,0,0.022,0.016,0.016,0.016,0.016,0.986,0.003,0.003,0.003,0.01,0.003,0.881,0,0.999,0.999,0.999,0.025,0.025,0.955,0.019,0.025,0.955,0.025,0.955,0.019,0.025,0.998,0.022,0.001,0.996,0.024,0.011,0.001,0.001,HR+
0.979,0.002,0.032,0.002,0.009,0.985,0.006,0.006,0.006,0.976,0.014,0.957,0.944,0.987,0.007,1,0,1,0,0,1,1,1,0.004,0.002,0.028,0.066,0.005,0.005,0.005,0.986,0.004,0.004,0.004,0.009,0.943,0.799,0.015,1,1,1,0.8,0.8,0.199,0.001,0.8,0.199,0.8,0.199,0.001,0.8,0.8,0.022,0.937,0,1,0,0,0,HR+
0.929,0.964,0.008,0.006,0.988,0.974,0.019,0.019,0.019,0.976,0,0.005,0,0.988,0.991,0.038,0.021,0.038,0.962,0,0.996,0.996,0.999,0,0.844,0,0,0.94,0.94,0.94,0.082,0.069,0.069,0.069,0.004,0.233,0.916,0,0.97,0.97,0.024,0,0,0,0.652,0,0,0,0,0.652,0,0.984,0,0.001,0.003,0.014,0.02,0,0,TN
0.96,0.008,0.733,0.003,0.78,0.528,0.001,0.001,0.001,0.965,0.016,0.901,0.769,0,0.947,0.968,0,0.02,0,0.875,0.043,0.043,0.049,0.006,0,0.022,0,0.901,0.033,0.033,0.881,0,0.82,0.82,0,0,0.085,0,0.004,0.004,0.004,0.005,0.005,0.783,0.206,0,0,0.001,0.472,0.513,0.001,0.001,0.001,0.035,0,0.079,0,0.054,0.054,TN
0.979,0.006,0.008,0.006,0.007,0.985,0.007,0.007,0.007,0.985,0.007,0.988,0.98,0.989,0.007,0.004,0.007,0.004,0.007,0.959,0.03,0.03,0.034,0.009,0.005,0.007,0.018,0.013,0.013,0.013,0.986,0.004,0.016,0.016,0.014,0.977,0.997,0.001,0.022,0.999,0.02,0.026,0.026,0.97,0.003,0.026,0.97,0.026,0.97,0.003,0.026,0.026,0.02,0.977,0,0.022,0.013,0.874,0,HR+
0,0.006,0.009,0.006,0.008,0.985,0.007,0.007,0.007,0.976,0.993,0.986,0.978,0.003,0.007,0.005,0.006,0.005,0.006,0,1,1,1,0,0.005,0.009,0.02,0.012,0.012,0.012,0.003,0.999,0.024,0.024,0.01,0,0.013,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0.999,0,0,0,0.235,0,0.655,0,TN
0.979,0.006,0.008,0.006,0.008,0.985,0.006,0.006,0.006,0.976,0.015,0.987,0.979,0.989,0.006,0.005,0.006,0.005,0.006,0.957,0.033,0.033,0.034,0.009,0.004,0.015,0.022,0.011,0.011,0.011,0.987,0.004,0.004,0.004,0.008,0.998,0.013,0.001,0.031,0.031,0.031,0.029,0.029,0.968,0.003,0.029,0.968,0.029,0.968,0.003,0.029,0.029,0.022,0.975,0,0,0.011,0.792,0.792,HR+
0.979,0.006,0.006,0.008,0.007,0.985,0.007,0.007,0.007,0.975,0.992,0,0,0.989,0.007,0.004,0.007,0.004,0.007,0,0.031,0.031,0.034,0.009,0,0.019,0.019,0.013,0.013,0.013,0.984,0.016,0.016,0.016,0.014,0.997,0.971,0.001,1,1,1,0.028,0.028,0.968,0.003,0.028,0.968,0.028,0.968,0.003,0.028,0.028,0.019,0.968,0,1,0,0.503,0,HR+
0.001,0.989,0,0.991,1,0.003,0.993,0.993,0.993,0.003,0.92,0.603,0.978,0.012,0.984,0,0.924,0,0.928,0.035,1,1,1,0,0.998,0.009,0.015,0.016,0.016,0.016,0.051,0.013,0.019,0.019,0.012,0.013,0.019,0,1,0.767,0.025,0.006,0.006,0.932,0.062,0.006,0.932,0.006,0.932,0.062,0.006,0.006,0.003,0.01,0.003,0.014,0.021,0.014,0,TN
0.978,0.007,0.007,0.007,0.999,0.001,0,0,0,0,0,0.988,0.98,0.988,0.007,0.004,0.007,0.004,0.007,0.958,0.031,0.031,0.028,0.011,0,0.017,0.019,0.013,0.013,0.013,0.986,0.004,0.004,0.004,0.01,0.977,0.965,0,0,0.252,0,0.027,0.027,0.969,0.003,0.027,0.969,0.027,0.969,0.003,0.027,0.027,0.02,0.977,0,0.022,0.012,0.735,0.735,TN
0.979,0.006,0.009,0.26,1,0.974,0.018,0.018,0.992,0,0.993,0.988,0.979,0,0.986,0,0,0.996,0.943,0.954,0.037,0.037,0.047,0.006,0.004,0.013,0.015,0.016,0.016,0.016,0.986,0.004,1,1,0,0.972,0.015,0.001,0.032,0.998,0.021,0.028,0.028,0.969,0.003,0.028,0.969,0.028,0.969,0.003,0.028,0.028,0.022,0,0,0.025,0.011,0.449,0,TN
0.979,0.007,0.008,0.007,0.007,0.985,0.008,0.008,0.008,0.975,0.016,0.988,0.98,0.989,0.007,0.006,0.005,0.006,0.005,0.96,0.029,0.029,0.024,0.013,0.004,0.017,0.018,0.013,0.013,0.013,0.986,0.004,0.02,0.02,0.011,0.977,0.013,0.001,0.04,0.001,0.027,0.036,0.036,0.961,0.002,0.036,0.961,0.036,0.961,0.002,0.036,0.036,0.021,0.962,0,0.02,0.014,0.845,0,TN
0.979,0.006,0.009,0.092,0.001,0.985,0.007,0.007,0.007,0.717,0.866,0.983,0.977,0.988,0.005,0.004,0.007,0.004,0.007,0.943,0.051,0.051,0.018,0.02,0.006,0.014,0.019,0.013,0.013,0.013,0.969,0.003,0.003,0.003,0.01,0.998,0.013,0.001,0.038,0.038,0.038,0.038,0.038,0.96,0.002,0.038,0.96,0.038,0.96,0.002,0.038,0.038,0.022,0.968,0,0.022,0.012,0.6,0.6,TN
0.953,0.238,0.006,0.008,0.007,0.985,0.007,0.007,0.007,0.934,0.063,0.832,0.954,0.819,0.18,0.001,0.043,0.001,0.043,0.08,0.917,0.917,0.981,0.802,0.001,0.01,0.01,0.027,0.027,0.027,0.978,0.005,0.005,0.005,0.007,0.977,0.016,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0.02,0,0.854,0.002,0.157,0.003,0.248,0.248,HER2+
0.974,0.006,0.009,0.006,0,0.533,0.466,0.466,0.466,0.834,0.164,0.987,0.844,0.137,0.727,0,0.017,0,0.01,0,0.999,0.999,1,0.045,0.03,0.007,0.021,0.012,0.012,0.012,0.189,0,0.001,0.001,0.836,0.003,0.997,0.921,0.004,0.999,0.999,0,0,0,0,0,0,0,0,0,0,0.993,0.977,0.002,0,0.001,0.484,0.001,0.001,HER2+
0.979,0.005,0.01,0.005,0.008,0.499,0.001,0.001,0.001,0.476,0.673,0.7,0.981,0.044,0.953,0,0.451,0,0.402,0.207,0.911,0.911,0.883,0.588,0.196,0.411,0.024,0.01,0.01,0.01,0.002,0.618,0.023,0.707,0.001,0.638,0.002,0,0,1,0.011,0.769,0.769,0.231,0,0.769,0.231,0.769,0.231,0,0.769,0.002,0.002,0.004,0,0.695,0.001,0.639,0.639,TN
0.161,0.001,0.007,0.008,0.007,0.985,0.008,0.008,0.008,0.975,0.017,0.988,0.511,0.988,0.006,0.004,0.007,0.003,0.02,0.324,0.676,0.676,0.663,0,0.001,0.464,0.525,0.013,0.013,0.013,0.918,0.08,0.08,0.08,0.002,0.999,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.564,0.646,0.477,0,0.026,0.01,0.766,0,HER2+
0.979,0.005,0.008,0.006,0.011,0.985,0.006,0.006,0.006,0.975,0,0.04,0.969,0.96,0.006,0.006,0.006,0.033,0.01,0,1,1,0.214,0.002,0.003,0.007,0.027,0.009,0.009,0.009,0.986,0.004,0.004,0.004,0.009,0.998,0.015,0,0,1,0.018,0,0,0,0,0,0,0,0,0,0,1,0.048,0.955,0.011,0.026,0.01,0.905,0.905,HER2+
0.002,0.979,0.005,0.594,0.005,0.032,0.992,0.992,0.992,0,0.992,0.99,0,0.021,0.986,0,0.905,0,0,0,1,1,0.001,0.935,1,0,0,0.914,0.914,0.577,0,0.014,0.014,0.014,0.016,0,0.994,0,0.035,0,0,0.002,0.002,0.653,0.335,0.002,0.653,0.002,0.653,0.335,0.002,0.002,0,0.944,0,0,0.985,0.032,0.032,TN
0.042,0.527,0.008,0.007,0.934,0.974,0.018,0.018,0.018,0.974,0.98,0.641,0.015,0.169,0,0.004,0.007,0.993,0,0.27,0.027,0.027,0.03,0.01,0.005,0.015,0.016,0,0,0,0.982,0.958,0.015,0.015,0.015,0.089,0.015,0,0.025,1,0.028,0.964,0.964,0.036,0,0.964,0.036,0.964,0.036,0,0.964,0.964,0.826,0.012,0,0,0.936,0.896,0.012,TN
0.105,0,0.009,0.006,0.007,0.985,0.006,0.006,0.006,0.975,0.016,0.987,0.975,0,0,1,0,1,0,0.021,0.979,0.979,0.983,0,0,0.001,0.001,0.753,0.753,0.753,0.983,0.004,0.004,0.004,0.009,0.364,0.017,0,0.02,0.996,0.016,0.013,0.013,0.949,0.036,0.013,0.949,0.013,0.949,0.036,0.013,0.013,0.015,0,0.903,1,0,0,0,TN
0.121,0.002,0.05,0.002,1,0.81,0.001,0.001,0.993,0,0.992,0.204,0.204,0.986,0.024,0.001,0.028,1,0,0,1,1,1,0,0,0.001,0,0,0,0,0.987,0.005,0.005,0.005,0.008,0,0.997,0,0.034,0.034,0.034,0.755,0.755,0.245,0,0.755,0.245,0.755,0.245,0,0.755,0.755,0.633,0.702,0,1,0,0.293,0.293,TN
